commentCount,comment_description_cosine,comment_title_cosine,comment_total_words,comment_unique_words,dislikeCount,keyword,keyword_decription_cosine,keyword_title_cosine,likeCount,negative_comment_count,neutral_comment_count,postive_comment_count,rank,video_id,viewCount
0.0,0.0,0.0,0.0,0.0,2.0,abnormal insulin,0.0,0.18322340813325655,2.0,0.0,0.0,0.0,10.0,a1EQW0ReIjA,114.0
7.0,0.5797222734815863,0.3806214985809988,181.0,153.0,1.0,abnormal insulin,0.08735546787246595,0.10204991318139077,1.0,1.0,3.0,3.0,11.0,DY7avIl3GNg,4075.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal insulin,0.09803816582252446,0.0,0.0,0.0,0.0,0.0,12.0,3coD9FuMxiE,560.0
84.0,3.789686712127859,2.535362645273209,1600.0,1007.0,49.0,abnormal insulin,0.055430567442616055,0.11441403545788584,49.0,7.0,10.0,14.0,13.0,K9Qou9maVdw,84600.0
0.0,0.0,0.0,0.0,0.0,8.0,abnormal insulin,0.06425404808235302,0.0,8.0,0.0,0.0,0.0,14.0,Az9lWdqebaU,21049.0
48.0,2.3821408949789284,0.2779006951320311,963.0,764.0,31.0,abnormal insulin,0.08646076023001334,0.2080562889343133,31.0,4.0,7.0,21.0,15.0,FkkK5lTmBYQ,248985.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal insulin,0.11241125848394781,0.2500513577254841,0.0,0.0,0.0,0.0,16.0,5pTY1QzXeIA,1.0
1.0,0.08081117687154755,0.0,16.0,15.0,0.0,abnormal insulin,0.08761848884325421,0.0,0.0,0.0,0.0,1.0,17.0,wR29vWKCT64,41.0
4.0,0.1810565102333005,0.0,31.0,29.0,0.0,abnormal insulin,0.054737278966623504,0.15824054254992725,0.0,0.0,0.0,3.0,18.0,lbioAK6cfNo,832.0
30.0,1.538787693652113,0.4547369584307683,609.0,488.0,11.0,abnormal insulin,0.15451428375092296,0.0,11.0,4.0,2.0,12.0,19.0,JyV_Cdwg8bQ,53591.0
0.0,0.0,0.0,0.0,0.0,1.0,abnormal insulin,0.14012313833861603,0.1892924080709122,1.0,0.0,0.0,0.0,20.0,0r-awFmKXko,81.0
0.0,0.0,0.0,0.0,0.0,0.0,abnormal insulin,0.07479869533821376,0.1759107660753222,0.0,0.0,0.0,0.0,21.0,uim_H8ckJac,245.0
65.0,1.4907342333887343,1.673307022390067,1126.0,923.0,29.0,abnormal insulin,0.0,0.0,29.0,7.0,12.0,24.0,22.0,JSFiOF7xGfE,181992.0
